Filename,Cleaned_Parties
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT.PDF,"['Tate & Lyle Fermentation Products Ltd.', 'Tate & Lyle PLC', 'Igene Biotechnology, Inc.']"
RMRGROUPINC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,"['ABP TRUST', 'ADAM D. PORTNOY']"
"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT.PDF","['MJ Syndicated, Inc.', 'SIMPLY HERBAL', 'individually and collectively ""JVP""']"
"ONEMAINHOLDINGS,INC_02_20_2020-EX-99.D-JOINT FILING AGREEMENT.PDF","['UNIFORM INVESTCO LP', 'UNIFORM INVESTCO GP LLC', 'THE VÄRDE FUND VI-A, L.P.', 'VÄRDE INVESTMENT PARTNERS, L.P.', 'VÄRDE INVESTMENT PARTNERS  MASTER, L.P.', 'VÄRDE INVESTMENT PARTNERS G.P., LLC', 'THE VÄRDE SKYWAY MASTER FUND, L.P.', 'THE VÄRDE SKYWAY FUND G.P., L.P.', 'THE VÄRDE SKYWAY FUND UGP, LLC', 'THE VÄRDE FUND XII , L.P.', 'THE VÄRDE FUND XII G.P., L.P.', 'THE VÄRDE FUND XII UGP, LLC', 'VÄRDE CREDIT PARTNERS MASTER, L.P.']"
"MACY'S,INC_05_11_2020-EX-99.4-JOINT FILING AGREEMENT.PDF","['VESA EQUITY INVESTMENT S.À R.L.', 'EP INVESTMENT S.À R.L.', 'DANIEL KŘETÍNSKÝ']"
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT.PDF,"['Bank of America Corporatino, Banc of America Preferred Funding Corporation']"
NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.PDF,['Shelby J. Butterfield']
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT.PDF","['SCULPTOR CAPITAL LP', 'SCULPTOR CAPITAL HOLDING CORPORATION', 'SCULPTOR MANAGEMENT, INC.', 'SCULPTOR MASTER FUND LTD']"
"PRECIGEN,INC_01_22_2020-EX-99.1-JOINT FILING AGREEMENT.PDF","['ARES TRADING SA', 'MERCK SERONO SA COINSINS, SWITZERLAND, AN AFFILIATE OF MERCK KGAA, DARMSTADT, GERMANY', 'MERCK KGAA DARMSTADT, GERMANY']"
"SPRINGBANKPHARMACEUTICALS,INC_04_08_2020-EX-99.A-JOINT FILING AGREEMENT.PDF","['UBS ONCOLOGY IMPACT FUND L.P.', 'ONCOLOGY IMPACT FUND  MANAGEMENT L.P.', 'MPM ONCOLOGY IMPACT MANAGEMENT LP', 'MPM ONCOLOGY IMPACT MANAGEMENT GP LLC']"
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT.PDF,"['HPS INVESTMENT PARTNERS, LCC', 'HPS MEZZANINE PARTNERS II, LLC', 'HPS MEZZANINE PARTNERS II OFFSHORE GP, L.P.', 'MEZZANINE PARTNERS - OFFSHORE INVESTMENT MASTER FUND II, L.P.', 'MEZZANINE PARTNERS II OFFSHORE LUX S.À R.L', 'MEZZANINE PARTNERS II OFFSHORE LUX S.À R.L II', 'HPS MEZZANINE PARTNERS II GP, L.P.', 'MEZZANINE PARTNERS II, L.P.', 'MEZZANINE PARTNERS II ONSHORE LUX S.À R.L', 'MEZZANINE PARTNERS II ONSHORE LUX S.À R.L II']"
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.PDF,"['CNET, Inc.', 'Cyberian Outpost, Inc.']"
KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT.PDF,"['Depomed, Inc.', 'King Pharmaceuticals, Inc.', 'Depomed and King']"
"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT.PDF","['Visualant Incorporated', 'Kenneth Turpin']"
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT.PDF,"['WestRock Company', 'Ingevity Corporation', 'SpinCo and Parent']"
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC..PDF","['The Babcock and Wilcox Company', 'Babcock and Wilcox Enterprises, Inc.', 'individually as a “Party,” and collectively as the “Parties”']"
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf,"['PC Quote, Inc.', 'A.B. Watley, Inc.']"
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3.pdf,"['PC QUOTE, INC.', 'A.B. Watley, Inc.']"
PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf,"['PC QUOTE, INC.', 'AB Wately, Inc. and all of its subsidiaries and related companies']"
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement2.pdf,"['Kiosk Concepts, Inc.']"
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3.pdf,[]
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1.pdf,"['Kiosk Concepts Inc.', 'The Grilled Cheese Truck, Inc.']"
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement4.pdf,"['KIOSK CONCEPTS, INC.', 'THE GRILLED CHEESE TRUCK, INC.']"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT.PDF,"['FEDERATED INVESTMENT MANAGEMENT COMPANY', 'FEDERATED ADVISORY SERVICES COMPANY']"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT.pdf,"['FEDERATED INVESTMENT MANAGEMENT COMPANY', 'FEDERATED ADVISORY SERVICES COMPANY']"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF.pdf,"['FEDERATED INVESTMENT MANAGEMENT COMPANY', 'FEDERATED ADVISORY SERVICES COMPANY']"
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT.pdf,"['FEDERATED INVESTMENT MANAGEMENT COMPANY', 'FEDERATED ADVISORY SERVICES COMPANY']"
WESTERN COPPER - NON-COMPETITION AGREEMENT.PDF,"['Glamis Gold Ltd. and all of its subsidiaries and other Affiliates', 'Western Copper Corporation and all of its subsidiaries and other Affiliates']"
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT.PDF","['Theravance, Inc.', 'Glaxo Group Limited']"
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.PDF","['F. Hoffmann-La Roche Ltd', 'Hoffmann-La Roche Inc.', 'Foundation Medicine, Inc.']"
"NOVOINTEGRATEDSCIENCES,INC_12_23_2019-EX-10.1-JOINT VENTURE AGREEMENT.PDF","['Novo Integrated Sciences Inc.', 'Harvest Gold Farms Inc.', 'NVOS and HGF']"
"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT.PDF","['AizuFujitsu Semiconductor Limited', 'Fujitsu Semiconductor Limited', 'Transphorm, Inc.', 'AizuFujitsu Semiconductor Limited, Fujitsu Semiconductor Limited, Transphorm, Inc.']"
VALENCETECHNOLOGYINC_02_14_2003-EX-10-JOINT VENTURE CONTRACT.PDF,"['Baoding Fengfan Group Limited Liability Company', 'Valence Technology, Inc.']"
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT.PDF","['VIVINT SOLAR, INC.', 'VIVINT, INC.  Vivint Solar and Vivint']"
Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT.PDF,"['Quaker Chemical Corporation', 'Gulf Houghton Lubricants Ltd.', 'Gulf Oil International Limited', 'GOCL Corporation Limited', 'Gulf Oil Lubricants India, Ltd , solely for purposes of Section 1[Confidentiality', 'Non-competition', 'Non-solicitation]']"
MOELIS&CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT.PDF,"['Sumitomo Mitsui Banking Corporation', 'SMBCNikko Securities Inc.', 'Moelis & Company Holdings LP', 'Moelis & Company Holdings GP LLC,', 'SMBC, Nikko, Moelis Holdings and Moelis General Partner']"
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.PDF,"['Dialog Semiconductor  Ltd.', 'Energous Corporation']"
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.PDF","['BorrowMoney.com, inc.', 'JVLS, LLC', 'BorrowMoney.com, inc.', 'JVLS, LLC']"
"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT.PDF","['Veoneer AB', 'Veoneer US, Inc.', 'Nissin Kogyo Co., Ltd.', 'Nissin Kogyo Holdings USA, Inc.', 'Zhongshan Nissin Industry Co., Ltd.']"
"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT.PDF","['KIROMIC BIOPHARMA Inc.', 'MOLIPHARMA S.R.L.']"
IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT.PDF,"['IMPCO Technologies Inc. including its successors and permitted assigns', 'MINDA INDUSTRIES LIMITED including its successors and permitted assigns , Nirmal K. MINDA including his heirs, executors, administrators or successors and permitted assigns']"
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.PDF,"['Gulf South Medical Supply, Inc.', 'Physician Sales & Service, Inc.', 'PSS Merger Corp.']"
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF,"['Amsterdam Federal Savings and Loan Association', 'Savings Association Insurance Fund', 'Federal  Deposit Insurance Corporation', 'Capital Resources, Inc. )']"
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.PDF,"['AF Mutual Holding Company', 'Alamogordo Federal Savings and Loan Association', 'Savings  Association Insurance Fund', 'Federal Deposit Insurance Corporation', 'Charles Webb & Company', 'Bruyette & Woods,  Inc. )']"
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.PDF,"['General Electric Capital Corporation together with its successors and assigns, if any', 'Duckwall-Alco Stores, Inc.']"
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.PDF,"['Alliance Mutual Holding Company', 'Alliance Bancorp, Inc. of Pennsylvania', 'Greater Delaware Valley Savings Bank d/b/a Alliance Bank', 'Sandler O’Neill & Partners, L.P. )']"
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.PDF,"['Mutual Insurance Corporation of America', 'Stratton, Cheeseman & Walsh-Nevada, Inc.']"
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.PDF,"['El Banco Financial Corporation', 'sales agent']"
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.PDF,"['Biopure Corporation', 'Agent']"
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF","['Blue Hills Bancorp, Inc.', 'Hyde Park Bancorp, MHC', 'Hyde Park Bancorp, Inc.', 'Blue Hills Bank', 'Bruyette & Woods, Inc.']"
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.PDF","['Bluerock Residential Growth REIT, Inc.', 'Bluerock Residential Holdings, L.P.', 'BRG Manager, LLC', 'Compass Point Research & Trading, LLC']"
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT.PDF,"['AURA SYSTEMS INC.', 'ZANOTTI EAST INC.']"
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.PDF,"['Freedom Mortgage Corporation', 'Cherry Hill Mortgage Investment Corp.']"
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,"['The University of Texas M. D. Anderson Cancer Center', 'Adaptimmune LLC', 'Adaptimmune Limited']"
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.PDF","['Cool Technologies Inc.', 'VETERAN TECHNOLOGY GROUP, LLC']"
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF","['System Associates, Inc.', 'Rubicon Software Group plc']"
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT.PDF,"['NORTHERN TELECOM LIMITED', 'ENTRUST TECHNOLOGIES INC.']"
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.PDF","['EDGE Communication Solutions, LLC', 'FRE Networks, Inc.']"
"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF","[""Giggles N' Hugs, Inc."", 'Kiddo, Inc.']"
GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF,"['GOLD RESOURCE CORPORATION', 'HOCHSCHILD MINING HOLDINGS LIMITED']"
ICORECONNECTINC_10_13_2010-EX-7.1-Strategic Alliance Agreement.PDF,"['IMedicor, Inc', 'USA Managed Care Organization']"
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement.PDF","['Bravatek Solutions, Inc.', 'Fazync LLC']"
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement.PDF,"['IntriCon Corporation', 'Dynamic Hearing Pty Ltd']"
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF","['Loin Biotechnologies, Inc.', 'The University of Texas M. D. Anderson Cancer Center']"
LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT.PDF,"['Lightbridge Corporation', 'Lloyds Register FNMA', '""Lloyds"" and together with ""Lightbridge""']"
MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT.PDF,"['UTEK Corporation', 'Manakoa Services Corporation']"
ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT.PDF,"['UTEK Corporation', 'World Energy Solutions']"
PHLVARIABLEINSURANCECOCT_08_17_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF,"['PHL VARIABLE INSURANCE COMPANY', 'PHOENIX LIFE INSURANCE COMPANY', 'PHOENIX EQUITY PLANNING CORPORATION', 'INVESTORS CAPITAL CORPORATION']"
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT.PDF","['Allscripts Healthcare, LLC', 'Phreesia, Inc.']"
REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF,"['Yaskawa Electric Corporation', 'Argo Medical Technologies Ltd.']"
KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF',"['KALLO Inc.', 'Petro data Management Services Limited.', 'Gateway Global Fabrication Ltd.']"
"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF","['Farids & Co. LLC', 'Edible Arrangements, LLC', 'Rocky Mountain Chocolate Factory, Inc.']"
"SUCAMPOPHARMACEUTICALS,INC_11_04_2015-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF","['R-Tech Ueno, Ltd.', 'Sucampo Pharma, LLC.', 'Sucampo Pharmaceuticals, Inc.']"
"TURNKEYCAPITAL,INC_07_20_2017-EX-1.1-Strategic Alliance Agreement.PDF","['Turnkey Capital Inc.', 'Seminole Indian Company']"
USASYNTHETICFUELCORP_10_21_2010-EX-10.10-STRATEGIC ALLIANCE AGREEMENT.PDF,"['OXBOW CARBON & MINERALS LLC', 'Global Energy, Inc', 'Oxbow and Global']"
"WASTE2ENERGYHOLDINGS,INC_06_03_2010-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.PDF","['SHBV  LTD', 'WASTE2ENERGY GROUP HOLDINGS PLC', 'SHBV and W2E']"
"VIRTUALSCOPICS,INC_11_12_2010-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.PDF","['PPD Development, LP', 'VirtualScopics, Inc']"
"XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT.PDF","['BOSCH INTERNATIONAL, LLC', 'BOSCH TECHNOLOGIES, LLC']"
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.PDF,"['Anixa Biosciences, Inc.', 'OntoChem GmbH']"
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.PDF,"['BIOCEPT, INC.', 'LIFE TECHNOLOGIES  CORPORATION']"
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.PDF","['Capsugel US, LLC', 'Cardax, Inc.', 'CARDAX and CAPSUGEL']"
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.PDF,"['Beike Internet Security Technology Co., Ltd.', 'Baidu Online Network Technology  Co., Ltd.']"
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.PDF","['e.l.f. Beauty, Inc.', 'Marathon Partners Equity Management, LLC', 'Marathon Partners L.P.', 'Marathon Focus Fund L.P.', 'Marathon Partners LUX Fund, L.P.', 'Cibelli Research & Management, LLC', 'Mario Cibelli']"
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.PDF,"['FibroGen, Inc.', 'Astellas Pharma Inc.']"
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT.PDF","['MG Capital Management Ltd.', 'Percy Rockdale LLC', 'Rio Royal LLC', 'HC2 Holdings, Inc.', 'Each of the MG Capital Parties and the Company are referred to herein as a “Party” and collectively, as the “Parties""']"
HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.PDF,"['HPIL ENERGYTECH Inc.', 'GINARES GROUP AG', 'HPIL ET and GINARES']"
LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT.PDF,"['Beijing Baidu Netcom Science and Technology Co., Ltd.', 'China Online Housing  Co., Ltd.', 'Beijing Yisheng Leju Information Services Co., Ltd', 'Party A, Party B, Party C']"
"MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT.PDF","['Meet Group, Inc.', 'HARVEST SMALL CAP PARTNERS MASTER, LTD', 'HARVEST SMALL CAP PARTNERS, L.P.', 'HARVEST CAPITAL STRATEGIES LLC']"
QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT.PDF,"['Otkritie Investments Cyprus Limited', 'QIWI plc', 'OICL and QIWI']"
"SPIENERGYCO,LTD_07_10_2014-EX-10-Cooperation Agreement of 50MWp Photovoltaic Grid-connected Power Generation Project in Yangqiao of~1.PDF","['People’s Government of Fenyi County', 'Xinyu Xinwei New Energy Co., Ltd.']"
"SPOKHOLDINGS,INC_06_19_2020-EX-10.1-COOPERATION AGREEMENT.PDF","['Spôk Holdings, Inc.', 'White Hat Strategic Partners LP', 'White Hat SP GP LLC', 'White Hat Capital Partners LP', 'White Hat Capital Partners GP LLC', 'each of the Company and White Hat Parties a ""Party""\' collectively ""Parties""']"
STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.PDF,"['City of Fort Stockton', 'STW resources Holding Corp', 'individually referred to as a ""Party, collectively referred to as ""Parties""']"
URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.PDF,"['JANA Partners LLC', 'URS Corporation']"
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.PDF","['INSTITUTE OF GRASSLAND AND  ENVIRONMENTAL RESEARCH', 'CERES, INC.']"
"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT.PDF","['Equifax Inc.', 'Certegy Inc.']"
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT.PDF","['Armstrong Flooring, Inc.', 'AFI Licensing LLC', 'AFI Licensing LLC together with Armstrong Flooring, Inc.', 'AHF Holding, Inc.', 'Armstrong Hardwood Flooring Company', 'AHF Holding, Inc. together with Armstrong Hardwood Flooring Company']"
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC..PDF","['GSI Technology, Inc.', 'Sony Electronics Inc.', 'individually as a ""party"", collectively as the ""parties""']"
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT.PDF","['THE HERTZ CORPORATION', 'HERTZ SYSTEM, INC.', 'HERC RENTALS INC.', '(hereinafter referred to collectively the ""Parties"", and individually as a ""party""']"
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT.PDF,"['JingWei HengTong Technology', 'ShenZhen JingWei Communication Co., Ltd.']"
MSCIINC_02_28_2008-EX-10.10-.PDF,"['Morgan Stanley & Co. Incorporated', 'MSCI Inc.', 'MS and MSCI individually as ""Party"" and collectively as the ""Parties""']"
"OTISWORLDWIDECORP_04_03_2020-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT by and among UNITED TECHNOLOGIES CORPORATION, OTIS WORLDWIDE CORPORATION and CARRIER ~1.PDF","['United Technologies Corporation', 'Otis Worldwide Corporation', 'Carrier Global Corporation', 'each a ""Party"", and together, the ""Parties""']"
VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT.PDF,"['NMS Communications Corp.', 'Verson Backhaul Solutions, Inc.']"
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT.PDF,"['Motorola Solutions, Inc.', 'Zebra Technologies Corporation']"
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.PDF,"['Airspan Networks Incorporated', 'GLS LLC']"
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,"['ACCURAY INCORPORATED,', 'SIEMENS AKTIENGESELLSCHAFT']"
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.PDF,"['Snotarator LLC', 'SMSA Ballinger Acquisition Corp.,']"
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.PDF,"['VendingData Corporation', 'Technical Casino Supplies Ltd.']"
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.PDF","['Tripath Technology, Inc.', 'Uniquest Corporation']"
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.PDF,"['WatchGuard Technologies, Inc.', 'European Micro']"
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT.PDF,"['IMRS OPERATIONS INC.', 'Delteq Pte Ltd']"
"LEGACYTECHNOLOGYHOLDINGS,INC_12_09_2005-EX-10.2-DISTRIBUTOR AGREEMENT.PDF","['LifeUSA/  Envision  Health,  Inc.', 'Sierra Mountain Minerals, Inc.']"
LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT.PDF,"['Lucid Inc.', '[*]']"
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.PDF,"['Electric City Corp.', 'Electric City of Illinois LLC']"
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT.PDF,"['PPG Paints Trading  Co Ltd', 'NeoMedia Micro Paint Repair']"
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT.PDF,"['JOHNSON MATTHEY CATALOG COMPANY, INC. d/b/a ALFA AESAR', 'Nanophase Technologies Corporation']"
"OPTIMIZEDTRANSPORTATIONMANAGEMENT,INC_07_26_2000-EX-6.6-DISTRIBUTOR AGREEMENT.PDF","['COMWARE TECHNICAL SERVICES', 'INTERNATIONAL TEST SYSTEMS, INC.']"
"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT.PDF","['Wireless Links Inc', 'Jaguar Investments, Inc. and its affiliates']"
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.PDF,"['Energy XXI Gulf Coast, Inc.', 'Energy XXI USA, Inc.', 'Shipper and Transporter']"
ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.PDF,"['Enterprise Transportation Company', 'Enterprise Products  Operating L.P.']"
MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT.PDF,"['Martin Operating Partnership L.P.', 'Midstream Fuel Service LLC']"
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,"['TOM WATSON', 'ADAMS GOLF, LTD.']"
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT.PDF,"['Kathy Ireland, Inc.', 'Kathy Ireland', 'The Sterling/Winters Co.', 'Diplomat Ambassador Eyewear Group']"
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT.PDF,"['Holiday RV Superstores, Inc. d/b/a Recreation USA', 'Affinity Group, Inc.', 'Company and AGI']"
"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT.PDF","['Bruce Jenner', 'The Right Solution']"
MOVADOGROUPINC_04_30_2003-EX-10.28-ENDORSEMENT AGREEMENT.PDF,"['Movado Group, Inc.', 'Trustees of the Grinberg Family Trust']"
MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT.PDF,"['MOSSIMO, INC.', 'DAVID DUVAL ENTERPRISES, INC']"
SPORTHALEYINC_09_29_1997-EX-10.2-10-ENDORSEMENT AGREEMENT.PDF,"['SPORT-HALEY, INC.', '__________']"
TEARDROPGOLFCO_10_23_1996-EX-10.12-ENDORSEMENT AGREEMENT.PDF,"['Teardrop Putter Corporation', 'Consolidated Artists  Inc.']"
WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT.PDF,"['FAMOUS FIXINS, INC.', 'PEY DIRT, INC.']"
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.PDF","['Array BioPharma Inc.,', 'Ono Pharmaceutical Co., Ltd.']"
Microgenics Corporation - Collaborative Development and Commercialization Agreement.PDF,"['Microgenics Corporation', 'Achaogen Inc.']"
WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT.PDF,"['Leo Pharma A/S', 'Galen  Limited']"
TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.PDF,"['BP America Production Company', 'True North Energy Corp.']"
